project,c_label,s_label,species_id,isotype,strain_name,collection_date_UTC,collection_local_time,collection_altitude,collection_cluster_3km,collection_location,collection_island,collection_trail,landscape,ambient_humidity,substrate,substrate_notes,substrate_other,ambient_temperature,substrate_temperature,gridsect,gridsect_index,gridsect_radius,grid_sect_direction,isolation_date_UTC,worms_on_sample,approximate_number_of_worms,proliferating,pcr_product_its2,pcr_product_ssu,general_notes,manual_blast_notes,possible_new_caeno_sp,make_strain_name,reason_strain_not_named,collection_type,lc_id,lc_area_km2,lc_detailed,lc_general,lc_biome,lc_major,lc_moisture,habstatus_id,habstatus,veg_id,veg_class,NatServElem,soil_moisture_ann,tair_ann,tsurf_ann,leaf_area_index_ann,rainfall_mm_ann,collection_longitude,collection_latitude
2017-Aug,C-0001,S-05010,,,,2017-08-02,34320,100.6421053,,Kuliouou Ridge Trail,Oahu,,,60.5,Rotting_nut/pod/seed/fruit,,,30.8,27.8,no,,,,2017-08-03,Yes,Some (11-25),1,0,1,,,,,,non-Caeno,39,1538.24,Alien dry grassland,Alien Dry Grassland,Dry Grassland,Grassland,Dry,2,Introduced,32,Hawaiian Introduced Wet-Mesic Forest,,0.487052440643311,23.0940170288086,20.5832500457764,3.32456159591675,1383.00732421875,-157.724406,21.304203
2017-Aug,C-0001,S-05020,,,,2017-08-02,34320,100.6421053,,Kuliouou Ridge Trail,Oahu,,,60.5,Rotting_nut/pod/seed/fruit,,,30.8,27.8,no,,,,2017-08-03,Yes,Some (11-25),1,0,1,,,,,,non-Caeno,39,1538.24,Alien dry grassland,Alien Dry Grassland,Dry Grassland,Grassland,Dry,2,Introduced,32,Hawaiian Introduced Wet-Mesic Forest,,0.487052440643311,23.0940170288086,20.5832500457764,3.32456159591675,1383.00732421875,-157.724406,21.304203
2017-Aug,C-0030,S-05027,Oscheius sp.,,,2017-08-02,34680,93.72883436,,Kuliouou Ridge Trail,Oahu,,,34,Vegetal_litter/mix,,,29.5,29.2,no,,,,2017-08-04,Yes,Very Few (1-3),1,1,1,,,,,,non-Caeno,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,32,Hawaiian Introduced Wet-Mesic Forest,,0.487052440643311,23.0940170288086,20.5832500457764,3.32456159591675,1383.00732421875,-157.724289,21.305025
2017-Aug,C-0002,S-05025,,,,2017-08-02,35040,91.00446429,,Kuliouou Ridge Trail,Oahu,,,67.7,Vegetal_litter/mix,,,28.4,24.7,no,,,,2017-08-04,Yes,Very Few (1-3),1,0,1,,,,,,non-Caeno,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,32,Hawaiian Introduced Wet-Mesic Forest,,0.487052440643311,23.0940170288086,20.5832500457764,3.32456159591675,1383.00732421875,-157.724256,21.305489
2017-Aug,C-0003,,,,,2017-08-02,35340,81.52747253,,Kuliouou Ridge Trail,Oahu,,,69.6,Arthropod,,,28.1,25.1,no,,,,2017-08-04,No,,,,,,,,,,no nematode,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724325,21.306158
2017-Aug,C-0046,S-05002,,,,2017-08-02,35700,100.684466,,Kuliouou Ridge Trail,Oahu,,,72.4,Rotting_nut/pod/seed/fruit,,,28.1,24.3,no,,,,2017-08-03,Yes,Few (4-10),,,,,,,,,unknown nematode,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724197,21.306325
2017-Aug,C-0046,S-05004,,,,2017-08-02,35700,100.684466,,Kuliouou Ridge Trail,Oahu,,,72.4,Rotting_nut/pod/seed/fruit,,,28.1,24.3,no,,,,2017-08-03,Yes,Few (4-10),,,,,,,,,unknown nematode,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724197,21.306325
2017-Aug,C-0046,S-05008,,,,2017-08-02,35700,100.684466,,Kuliouou Ridge Trail,Oahu,,,72.4,Rotting_nut/pod/seed/fruit,,,28.1,24.3,no,,,,2017-08-03,Yes,Few (4-10),0,,,,,,,,unknown nematode,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724197,21.306325
2017-Aug,C-0004,S-05039,,,,2017-08-02,35880,94.88109756,,Kuliouou Ridge Trail,Oahu,,,71.9,Rotting_nut/pod/seed/fruit,,,27.4,24.5,no,,,,2017-08-04,Yes,Some (11-25),1,0,1,,,,,,non-Caeno,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724203,21.306319
2017-Aug,C-0004,S-05042,,,,2017-08-02,35880,94.88109756,,Kuliouou Ridge Trail,Oahu,,,71.9,Rotting_nut/pod/seed/fruit,,,27.4,24.5,no,,,,2017-08-04,Yes,Some (11-25),1,0,1,,,,,,non-Caeno,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724203,21.306319
2017-Aug,C-0004,S-05048,,,,2017-08-02,35880,94.88109756,,Kuliouou Ridge Trail,Oahu,,,71.9,Rotting_nut/pod/seed/fruit,,,27.4,24.5,no,,,,2017-08-04,Yes,Some (11-25),1,0,1,,,,,,non-Caeno,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724203,21.306319
2017-Aug,C-0005,,,,,2017-08-02,36480,120.5344828,,Kuliouou Ridge Trail,Oahu,,,66.5,Vegetal_litter/mix,,,29.5,27.1,no,,,,2017-08-03,No,,,,,,,,,,no nematode,21,186.286,Alien dry forest,Alien Dry Forest,Dry Forest,Forest,Dry,2,Introduced,33,Hawaiian Introduced Deciduous Shrubland,,0.495885759592056,22.8564968109131,20.3526668548584,2.7540168762207,1451.65625,-157.724275,21.307294
