X_WGS84,Y_WGS84,ConnochaetesGnou,GuloGulo,PantheraOnca,PteropusGiganteus,TenrecEcaudatus,VulpesVulpes,bio3,bio4,bio7,bio11,bio12
-94.5,82.00000782,0,0,0,0,0,0,12.77777447,15086.6669,471.5555853,-381.7777388,93.22216277
-91.5,82.00000782,0,1,0,0,0,0,12.23076984,15473.69161,478.6153676,-385.3076997,87.53848702
-88.5,82.00000782,0,1,0,0,0,0,11.64706003,15987.76386,487.2941073,-391.352895,95.64695797
-85.5,82.00000782,0,1,0,0,0,0,11.24999882,16186.33352,489.5416769,-396.624997,103.7499545
-82.5,82.00000782,0,1,0,0,0,0,11.11111045,15788.03779,478.8518737,-396.1111046,131.6665798
-79.5,82.00000782,0,1,0,0,0,0,11.43333432,15299.06732,466.1333587,-389.899981,148.3998815
-76.5,82.00000782,0,1,0,0,0,0,11.71875384,14720.65736,450.4062822,-380.0937649,162.1249793
-73.5,82.00000782,0,1,0,0,0,0,12.2222195,14136.55683,433.7778118,-369.472252,179.6944281
-70.5,82.00000782,0,1,0,0,0,0,12.79999825,13496.00092,416.9333521,-353.7333306,187.5665818
-67.5,82.00000782,0,1,0,0,0,0,13.7931017,13105.55268,412.1034496,-332.5862764,159.65527
-64.5,82.00000782,0,1,0,0,0,0,14.59259518,13011.14817,417.0740617,-324.1481348,156.2962363
-61.5,82.00000782,0,1,0,0,0,0,14.73684237,12758.47453,415.7368534,-314.6842354,160.473735
-58.5,82.00000782,0,0,0,0,0,0,13.73684656,12413.26381,403.4737131,-320.4210135,206.5787989
-55.5,82.00000782,0,0,0,0,0,0,13.62499302,12122.62568,396.5416863,-315.5416861,203.8333367
-52.5,82.00000782,0,0,0,0,0,0,13.68182093,11860.31833,390.363642,-310.363614,207.6817155
-49.5,82.00000782,0,0,0,0,0,0,14.34615254,11733.50013,387.8846206,-307.5768987,205.8460364
-46.5,82.00000782,0,0,0,0,0,0,14.66666761,11673.19986,386.4333325,-307.3666273,207.4665299
-43.5,82.00000782,0,0,0,0,0,0,15.27778057,11634.91682,385.6944481,-306.5277702,207.0276838
-40.5,82.00000782,0,0,0,0,0,0,14.72222502,11708.44428,385.1388963,-324.5555112,276.9720424
-37.5,82.00000782,0,0,0,0,0,0,15.22221758,11680.36162,383.7222287,-325.5000183,281.2778469
-34.5,82.00000782,0,0,0,0,0,0,15.80555803,11655.80555,382.611113,-319.9166725,251.0000259
-31.5,82.00000782,0,0,0,0,0,0,16.58332967,11705.30524,383.9166609,-314.2499998,217.9722687
-28.5,82.00000782,0,0,0,0,0,0,17.19444438,11963.05506,394.6388709,-322.222215,205.6667233
-25.5,82.00000782,0,0,0,0,0,0,17.18181498,12116.42376,398.5454482,-312.424276,173.0303971
-22.5,82.00000782,0,0,0,0,0,0,17.07407932,12265.18468,402.074063,-303.2593031,152.0371218
-19.5,82.00000782,0,0,0,0,0,0,17,12401.4372,404.8749919,-307.5000025,187.6873834
-16.5,82.00000782,0,0,0,0,0,0,16.99998686,12152.00246,393.2500812,-277.250115,167.8125558
-13.5,82.00000782,0,0,0,0,0,0,16.92308091,11206.31136,362.8462771,-254.6154554,188.3075565
-10.5,82.00000782,0,0,0,0,0,0,17,10394.00305,338.0001053,-238,211.9999474
19.5,82.00000782,0,0,0,0,0,0,18,6761.501476,234.5000314,-148.0002199,234.5004397
22.5,82.00000782,0,0,0,0,0,0,18,6658.002456,232.0001259,-148.0003149,252.0006297
46.5,82.00000782,0,0,0,0,0,0,22,7503.498721,277.2499645,-185.7499645,247.7500357
49.5,82.00000782,0,0,0,0,0,0,21.71429557,7940.283434,290.9999483,-200.7142009,241.2856833
52.5,82.00000782,0,0,0,0,0,0,21.00003618,8278.99906,301.4999638,-212.5002176,244.5006888
55.5,82.00000782,0,0,0,0,0,0,20.8999923,9301.297953,326.899922,-241.7999624,241.2000176
58.5,82.00000782,0,0,0,0,0,0,20,10080.42687,349.1428252,-259.5714326,227.7858094
61.5,82.00000782,0,0,0,0,0,0,20,9731.336319,339.777853,-256.5556187,207.6667817
64.5,82.00000782,0,0,0,0,0,0,20,9441.125714,334.3750188,-253.2500551,188.7501434
79.5,82.00000782,0,0,0,0,0,0,18,10246.66654,334.3333062,-273.000092,154.3336444
91.5,82.00000782,0,0,0,0,0,0,17.74999996,11814.74977,386.9999363,-309.0000213,129.9999789
94.5,82.00000782,0,0,0,0,0,0,17.87501111,12082.12461,396.5000022,-321.624838,162.9996815
97.5,82.00000782,0,0,0,0,0,0,18,12136.49963,399.4999559,-314.7501586,165.7502306
-115.5,79.00000782,0,0,0,0,0,0,11.66666667,14457.33325,453.3333347,-359.3333279,74
-112.5,79.00000782,0,0,0,0,0,0,12,14488.92314,454.6153908,-362.6153837,68.99999774
-109.5,79.00000782,0,0,0,0,0,0,12,14491.55572,455.6666639,-362.222236,64.66668034
-106.5,79.00000782,0,0,0,0,0,0,13.24999415,14458.25021,459.0000058,-362.9999883,75.49998246
-103.5,79.00000782,0,0,0,0,0,0,13.9999998,14551.05572,464.5000006,-369.0555698,99.6110972
-100.5,79.00000782,0,0,0,0,0,0,13.99999983,14482.99997,463.6315821,-363.4736966,99.94738191
-97.5,79.00000782,0,0,0,0,0,0,13.93333359,14423.46704,462.1999978,-356.6000184,98.86666779
-94.5,79.00000782,0,0,0,0,0,0,13.31034205,14536.17203,460.6206753,-362.7586545,106.1724572
-91.5,79.00000782,0,0,0,0,0,0,11.6666627,14727.79843,457.3999481,-380.0334039,130.6334825
-88.5,79.00000782,0,1,0,0,0,0,11.90000112,15439.29926,476.0666505,-376.3999959,120.4666485
-85.5,79.00000782,0,1,0,0,0,0,12.17647513,15548.35301,478.7941346,-367.0881686,103.8233247
-82.5,79.00000782,0,1,0,0,0,0,12.33333892,15156.13965,469.6111282,-362.8333177,121.8054532
-79.5,79.00000782,0,1,0,0,0,0,11.52777645,14865.22331,458.38891,-379.5833753,198.9444999
-76.5,79.00000782,0,1,0,0,0,0,12.51428673,14261.54411,442.942893,-358.6571744,179.999998
-73.5,79.00000782,0,1,0,0,0,0,13.52631763,13539.15956,421.5789993,-337.8421359,161.5263111
-70.5,79.00000782,0,1,0,0,0,0,14.96000216,12438.04099,391.1200387,-301.4399834,145.1598619
-67.5,79.00000782,0,0,0,0,0,0,14.61905141,12037.14269,381.9047543,-297.9047239,189.2379557
-64.5,79.00000782,0,0,0,0,0,0,14.44117727,12182.44115,391.441175,-305.0293774,208.1763391
-61.5,79.00000782,0,0,0,0,0,0,13.27778014,12142.44491,392.0555691,-318.9166348,271.3887071
-58.5,79.00000782,0,0,0,0,0,0,11.50000482,11943.58401,385.8333523,-334.0555145,363.3886197
-55.5,79.00000782,0,0,0,0,0,0,10.25000019,11746.19483,379.5833463,-346.2222093,448.7776341
-52.5,79.00000782,0,0,0,0,0,0,10.19444314,11577.75055,375.8333375,-348.2777671,484.3887637
-49.5,79.00000782,0,0,0,0,0,0,10.47222134,11497.69477,374.0000131,-349.6111104,512.1110125
-46.5,79.00000782,0,0,0,0,0,0,10.77777847,11440.0281,372.6111193,-351.2777679,545.5831705
-43.5,79.00000782,0,0,0,0,0,0,11.27777677,11397.36114,370.4722292,-356.9722022,599.0831488
-40.5,79.00000782,0,0,0,0,0,0,11.69444199,11305.16709,367.2777928,-358.111121,627.7221696
-37.5,79.00000782,0,0,0,0,0,0,12.33333236,11176.36158,363.5833418,-352.5833516,613.0555552
-34.5,79.00000782,0,0,0,0,0,0,13.24999804,11087.52815,360.888895,-345.1389076,574.9722944
-31.5,79.00000782,0,0,0,0,0,0,14.66665913,11052.50011,361.0555455,-333.0277935,496.1113031
-28.5,79.00000782,0,0,0,0,0,0,18.33332797,11133.33321,375.3333085,-331.583346,395.4446201
-25.5,79.00000782,0,0,0,0,0,0,18.44444588,11307.30515,379.9999936,-319.2222565,320.1945791
-22.5,79.00000782,0,0,0,0,0,0,18.388887,11443.72218,382.7499952,-295.0000981,225.4447428
-19.5,79.00000782,0,0,0,0,0,0,18.22580945,11504.22624,382.6774282,-276.5161909,175.1613876
-16.5,79.00000782,0,0,0,0,0,0,17.44444444,11602.33392,380.7778105,-262.555537,161.3331529
10.5,79.00000782,0,0,0,0,0,0,18.39999402,6284.698738,216.6999552,-132.9999008,402.6997559
13.5,79.00000782,0,0,0,0,0,0,18.03846825,6702.57408,231.6922014,-148.6153298,394.6927012
16.5,79.00000782,0,0,0,0,0,0,16.7931033,7149.07026,247.7241716,-162.2069418,290.5174331
19.5,79.00000782,0,0,0,0,0,0,18.41378197,6623.174492,232.1035041,-146.9311177,273.1379382
22.5,79.00000782,0,0,0,0,0,0,20.43332854,6199.834138,221.9666781,-133.5666985,320.3998041
25.5,79.00000782,0,0,0,0,0,0,20.8888921,6078.83453,218.9444862,-132.6667578,344.5001145
28.5,79.00000782,0,0,0,0,0,0,21.99998623,5775.600571,210.2000138,-115.1999765,350.3999385
31.5,79.00000782,0,0,0,0,0,0,21.25,5936.249238,213.9999834,-123.4999832,323.5000659
34.5,79.00000782,0,0,0,0,0,0,21,6077.998799,217.9999333,-133.9998665,325
46.5,79.00000782,0,0,0,0,0,0,22,7459.998134,276.7499468,-187.7498151,265.9997095
49.5,79.00000782,0,0,0,0,0,0,22,7846.711456,289.8570301,-199.1426009,260.856733
52.5,79.00000782,0,0,0,0,0,0,21.8333328,8416.164562,305.2499691,-212.8334015,248.6669184
55.5,79.00000782,0,0,0,0,0,0,21,9207.829178,325.4998746,-235.6664227,259.499579
58.5,79.00000782,0,0,0,0,0,0,20.00001237,10028.83079,349.8332584,-252.1666378,271.1667738
61.5,79.00000782,0,0,0,0,0,0,20,9867.002874,343.3334327,-251.6667993,224.6670944
91.5,79.00000782,0,0,0,0,0,0,17.79999997,12180.29825,401.8999196,-301.7999569,136.3998429
94.5,79.00000782,0,0,0,0,0,0,17.89472732,12336.57839,407.6842039,-313.4209524,169.894474
97.5,79.00000782,0,0,0,0,0,0,17.95238111,12411.14365,411.619059,-315.5238039,194.0951471
100.5,79.00000782,0,0,0,0,0,0,18.39999546,12353.55192,411.5250418,-307.9249928,211.7749142
103.5,79.00000782,0,0,0,0,0,0,19.29411764,11878.35367,394.8824074,-303.7648287,229.5295576
106.5,79.00000782,0,0,0,0,0,0,18.40001791,12446.39499,413.7998559,-303.0000175,210.400267
-121.5,76.00000782,0,0,0,0,0,0,11.15384759,14000.07695,439.4230771,-340.5384605,87.96152393
-118.5,76.00000782,0,1,0,0,0,0,11.54545308,14185.59089,445.9999979,-347.7272773,94.04544726
-115.5,76.00000782,0,1,0,0,0,0,11.67857159,14190.08907,447.928565,-350.160714,93.07143948
-112.5,76.00000782,0,1,0,0,0,0,12.07692143,14208.61525,449.1153828,-348.3846206,81.88463963
-109.5,76.00000782,0,1,0,0,0,0,12.54166537,14191.25024,449.2500071,-343.6666719,67.54168077
-106.5,76.00000782,0,1,0,0,0,0,12.78571463,13986.35764,442.9643041,-338.7857224,62.21428544
